"model","timezero","forecast_date","target_end_date","target","location","truth_data_eval","truth_data_model","truth","shift","value.point","value.0.025","value.0.25","value.0.5","value.0.75","value.0.975","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis","pit_lower","pit_upper"
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM13","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM14","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM15","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead cum death","GM16","JHU","ECDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM","JHU","ECDC",5409,0,5655,3643,4851,5655,6439,8274,246,238.667391304348,0,16.695652173913,255.363043478261,0.4,0.45
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM01","JHU","ECDC",NA,0,499,339,433,499,556,707,NA,22.5286956521739,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM02","JHU","ECDC",NA,0,625,451,560,625,711,892,NA,27.0734782608696,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM03","JHU","ECDC",NA,0,27,15,22,27,31,41,NA,1.39304347826087,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM04","JHU","ECDC",NA,0,138,101,125,138,154,193,NA,4.7495652173913,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM05","JHU","ECDC",NA,0,561,340,480,561,669,888,NA,30.1391304347826,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM06","JHU","ECDC",NA,0,403,239,373,403,413,532,NA,9.09521739130435,NA,NA,NA,NA,NA
"FIAS_FZJ-Epi1Ger",2021-01-11,2021-01-11,2021-01-23,"2 wk ahead inc death","GM07","JHU","ECDC",NA,0,1162,740,1013,1162,1308,1699,NA,45.8126086956522,NA,NA,NA,NA,NA
